Radio,Audience
Ukhozi ,7294000
Umhlobo_Wenene_FM,5208000
Metro_FM,3968000
Lesedi_FM,3440000
Thobela_FM,2819000
Motsweding_FM,2640000
RSG,1488000
Gagasi_FM,1408000
Jacaranda_FM,1325000
Ikwekwezi_FM,1294000
Munghana_Lonene_FM,1020000
East Coast Radio,988000
947,952000
Ligwalagwala_FM,947000
5FM,865000
Kaya_FM_95.9,858000
Phalaphala_FM,838000
Heart 104.9_FM,832000
YFM_99.2,706000
KFM,675000
Goo_ Hope_FM,612000
Algoa_FM,588000
702,530000
Capricorn_FM,473000
Radio_2000,447000
OFM,282000
Lotus_FM,274000
North_West_FM,212000
SAfm,175000
Smile_FM,140000
trufm,129000
Power_98.7,103000
CapeTalk,79000
Vuma_103_FM,77000
Classic_FM_102.7,71000
